forecastdate,state,class,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-29,AZ,1,false,Kyrsten Sinema,D,false,lite,0.6551,50.1,46.04,54.17
2018-10-29,AZ,1,false,Martha McSally,R,false,lite,0.3449,47.74,43.69,51.77
2018-10-29,AZ,1,false,Angela Green,G,false,lite,0,2.16,0.62,4.11
2018-10-29,CA,1,false,Dianne Feinstein,D,true,lite,0.949,57.55,51.63,63.47
2018-10-29,CA,1,false,Kevin de Leon,D,false,lite,0.051,42.45,36.53,48.37
2018-10-29,CT,1,false,Christopher Murphy,D,true,lite,0.9703,56.75,51.66,61.86
2018-10-29,CT,1,false,Matthew Corey,R,false,lite,0.0297,41.63,36.51,46.71
2018-10-29,CT,1,false,Others,,false,lite,0,1.63,0.41,3.2
2018-10-29,DE,1,false,Thomas R. Carper,D,true,lite,0.9937,59.04,53.98,64.13
2018-10-29,DE,1,false,Rob Arlett,R,false,lite,0.0063,38.32,33.2,43.35
2018-10-29,DE,1,false,Others,,false,lite,0,2.64,0.83,4.91
2018-10-29,FL,1,false,Bill Nelson,D,true,lite,0.7313,51.65,48.17,55.2
2018-10-29,FL,1,false,Rick Scott,R,false,lite,0.2687,48.35,44.8,51.83
2018-10-29,HI,1,false,Mazie K. Hirono,D,true,lite,0.9997,75.29,67.29,83.25
2018-10-29,HI,1,false,Ron Curtis,R,false,lite,0.0003,24.71,16.75,32.71
2018-10-29,IN,1,false,Joe Donnelly,D,true,lite,0.6371,49.76,45.78,53.69
2018-10-29,IN,1,false,Mike Braun,R,false,lite,0.3629,47.74,43.8,51.67
2018-10-29,IN,1,false,Lucy M. Brenton,L,false,lite,0,2.5,0.76,4.66
2018-10-29,MA,1,false,Elizabeth Warren,D,true,lite,0.9925,60.08,54.24,65.88
2018-10-29,MA,1,false,Geoff Diehl,R,false,lite,0.0075,37.41,31.6,43.22
2018-10-29,MA,1,false,V. A. Shiva Ayyadurai,I,false,lite,0,2.51,0.77,4.68
